Country,HS 2015,HS 2016,HS 2017,HS 2018,HS 2019,HS 2020,HS 2021,HS 2022,HR 2023,HS 2023,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,all alcohol_PerCapita,no_internet,Share of one person households,Number of wars,Press Freedom,Category
Afghanistan,3.575,3.36,3.794,3.632,3.203,2.567,2.523,2.404,137,1.859,7.324,0.341,54.712,0.382,0.847,,86.5,0.189,18,39.75,worst
Albania,4.959,4.655,4.644,4.586,4.719,4.883,5.117,5.199,83,5.277,9.567,0.718,69.15,0.794,0.878,275.0,30.4,8.274,0,57.86,normal
Algeria,5.605,6.355,5.872,5.295,5.211,5.005,4.887,5.122,81,5.329,9.3,0.855,66.549,0.571,0.717,,40.4,,6,45.74,normal
Argentina,6.574,6.65,6.599,6.388,6.086,5.975,5.929,5.967,52,6.024,9.959,0.891,67.2,0.823,0.814,439.0,25.7,17.598,0,73.36,normal
Armenia,4.35,4.36,4.376,4.321,4.559,4.677,5.283,5.399,79,5.342,9.615,0.79,67.789,0.796,0.705,211.0,35.3,15.263,0,70.61,normal
Australia,7.284,7.313,7.284,7.272,7.228,7.223,7.183,7.162,12,7.095,10.821,0.934,71.05,0.89,0.496,545.0,13.5,24.992,0,78.24,normal
Austria,7.2,7.119,7.006,7.139,7.246,7.294,7.268,7.163,11,7.097,10.899,0.888,71.15,0.855,0.497,545.0,12.3,37.2,0,77.3,normal
Bahrain,5.96,6.218,6.087,6.105,6.199,6.227,6.647,6.647,42,6.173,10.776,0.844,65.825,0.944,0.737,112.0,0.3,,0,30.59,normal
Bangladesh,4.694,4.643,4.608,4.5,4.456,4.833,5.025,5.155,118,4.282,8.685,0.544,64.548,0.845,0.698,,87.1,1.738,2,35.31,normal
Belgium,6.937,6.929,6.891,6.927,6.923,6.864,6.834,6.805,17,6.859,10.844,0.915,70.899,0.825,0.549,591.0,9.63,34.7,0,76.47,normal
Benin,3.34,3.484,3.657,4.141,4.883,5.216,5.045,4.623,116,4.374,8.103,0.437,56.095,0.743,0.576,51.0,80.0,10.265,2,52.44,normal
Bolivia,5.89,5.822,5.823,5.752,5.779,5.747,5.716,5.6,69,5.684,8.985,0.811,63.599,0.868,0.846,216.0,56.2,12.761,0,51.09,normal
Bosnia and Herzegovina,4.949,5.163,5.182,5.129,5.386,5.674,5.813,5.768,71,5.633,9.616,0.88,67.275,0.746,0.918,257.0,30.1,,0,65.43,normal
Botswana,4.332,3.974,3.766,3.59,3.488,3.479,3.467,3.471,132,3.435,9.629,0.753,54.725,0.742,0.83,243.0,53.0,27.891,0,64.61,worst
Brazil,6.983,6.952,6.635,6.419,6.3,6.376,6.33,6.293,48,6.125,9.582,0.836,65.749,0.801,0.738,406.0,32.5,12.001,0,58.67,normal
Bulgaria,4.218,4.217,4.714,4.933,5.011,5.102,5.266,5.371,77,5.466,10.087,0.918,66.5,0.801,0.911,577.0,32.0,33.3,0,62.98,normal
Burkina Faso,3.587,3.739,4.032,4.424,4.587,4.769,4.834,4.67,104,4.638,7.667,0.663,55.461,0.696,0.771,39.0,84.0,6.64,11,67.64,normal
Cambodia,3.819,3.907,4.168,4.433,4.7,4.848,4.83,4.64,115,4.393,8.385,0.747,61.9,0.958,0.857,123.0,60.0,3.372,0,42.02,normal
Cameroon,4.252,4.513,4.695,4.975,5.044,5.085,5.142,5.048,96,4.973,8.217,0.686,55.847,0.686,0.846,152.0,76.8,15.143,18,45.58,normal
Canada,7.427,7.404,7.316,7.328,7.278,7.232,7.103,7.025,13,6.961,10.773,0.929,71.4,0.874,0.42,462.0,9.0,27.576,0,83.53,normal
Chad,3.667,3.763,3.936,4.301,4.35,4.423,4.355,4.251,114,4.397,7.261,0.722,53.125,0.677,0.807,17.0,93.5,7.732,11,53.73,normal
Chile,6.67,6.705,6.652,6.476,6.444,6.228,6.172,6.172,35,6.334,10.114,0.889,70.3,0.792,0.823,426.0,17.7,11.425,0,60.09,normal
China,5.14,5.245,5.273,5.246,5.191,5.124,5.339,5.585,64,5.818,9.738,0.836,68.689,0.882,0.727,279.0,45.7,8.589,1,22.97,normal
Colombia,6.477,6.481,6.357,6.26,6.125,6.163,6.012,5.781,72,5.63,9.584,0.822,69.35,0.804,0.834,238.0,35.0,11.126,8,45.23,normal
Comoros,3.956,3.956,3.956,3.964,3.973,4.289,4.289,4.609,130,3.545,8.075,0.471,59.425,0.47,0.727,5.0,91.5,4.911,0,62.25,worst
Congo (Brazzaville),3.989,4.236,4.291,4.559,4.812,5.194,5.342,5.075,86,5.267,8.095,0.605,56.85,0.73,0.739,86.0,91.3,13.089,1,60.42,normal
Congo (Kinshasa),4.517,4.272,4.28,4.245,4.418,4.311,4.311,3.759,133,3.207,7.007,0.652,55.375,0.664,0.834,36.0,91.4,7.254,18,48.55,worst
Costa Rica,7.226,7.087,7.079,7.072,7.167,7.121,7.069,6.582,23,6.609,9.952,0.872,70.0,0.895,0.768,247.0,18.8,11.227,0,80.2,normal
Cote d'Ivoire,3.655,3.916,4.18,4.671,4.944,5.233,5.306,5.235,93,5.053,8.576,0.572,55.953,0.733,0.746,45.0,63.5,12.177,0,,normal
Croatia,5.759,5.488,5.293,5.321,5.432,5.505,5.882,6.125,48,6.125,10.341,0.917,68.95,0.757,0.925,571.0,20.9,24.4,0,71.95,normal
Cyprus,5.689,5.546,5.621,5.762,6.046,6.159,6.223,6.221,46,6.13,10.611,0.826,72.802,0.724,0.86,459.0,13.9,20.8,0,68.62,normal
Czech Republic,6.505,6.596,6.609,6.711,6.852,6.911,6.965,6.92,18,6.845,10.611,0.953,69.05,0.903,0.859,665.0,19.1,28.7,0,83.58,normal
Denmark,7.527,7.526,7.522,7.555,7.6,7.646,7.62,7.636,2,7.586,10.962,0.954,71.25,0.934,0.196,583.0,1.95,44.1,0,89.48,best
Dominican Republic,4.885,5.155,5.23,5.302,5.425,5.689,5.545,5.737,73,5.569,9.811,0.827,64.399,0.85,0.657,349.0,25.2,14.332,0,71.88,normal
Ecuador,5.975,5.976,6.008,5.973,6.028,5.925,5.764,5.533,74,5.559,9.27,0.806,69.0,0.802,0.833,239.0,42.7,12.123,0,60.51,normal
Egypt,4.194,4.362,4.735,4.419,4.166,4.151,4.283,4.288,121,4.17,9.367,0.726,63.503,0.732,0.58,11.0,42.7,6.479,11,33.37,normal
El Salvador,6.13,6.068,6.003,6.167,6.253,6.348,6.061,6.12,50,6.122,9.089,0.755,65.597,0.918,0.62,123.0,66.2,8.823,0,51.36,normal
