Country,Category,Year,Score
Afghanistan,worst,2015,3.575
Albania,normal,2015,4.959
Algeria,normal,2015,5.605
Argentina,normal,2015,6.574
Armenia,normal,2015,4.35
Australia,normal,2015,7.284
Austria,normal,2015,7.2
Bahrain,normal,2015,5.96
Bangladesh,normal,2015,4.694
Belgium,normal,2015,6.937
Benin,normal,2015,3.34
Bolivia,normal,2015,5.89
Bosnia and Herzegovina,normal,2015,4.949
Botswana,worst,2015,4.332
Brazil,normal,2015,6.983
Bulgaria,normal,2015,4.218
Burkina Faso,normal,2015,3.587
Cambodia,normal,2015,3.819
Cameroon,normal,2015,4.252
Canada,normal,2015,7.427
Chad,normal,2015,3.667
Chile,normal,2015,6.67
China,normal,2015,5.14
Colombia,normal,2015,6.477
Comoros,worst,2015,3.956
Congo (Brazzaville),normal,2015,3.989
Congo (Kinshasa),worst,2015,4.517
Costa Rica,normal,2015,7.226
Cote d'Ivoire,normal,2015,3.655
Croatia,normal,2015,5.759
Cyprus,normal,2015,5.689
Czech Republic,normal,2015,6.505
Denmark,best,2015,7.527
Dominican Republic,normal,2015,4.885
Ecuador,normal,2015,5.975
Egypt,normal,2015,4.194
El Salvador,normal,2015,6.13
Estonia,normal,2015,5.429
Ethiopia,normal,2015,4.512
Finland,best,2015,7.406
France,normal,2015,6.575
Gabon,normal,2015,3.896
Gambia,normal,2015,4.713
Georgia,normal,2015,4.297
Germany,normal,2015,6.75
Ghana,normal,2015,4.633
Greece,normal,2015,4.857
Guatemala,normal,2015,6.123
Guinea,normal,2015,3.656
Honduras,normal,2015,4.788
Hong Kong,normal,2015,5.474
Hungary,normal,2015,4.8
Iceland,best,2015,7.561
India,normal,2015,4.565
Indonesia,normal,2015,5.399
Iran,normal,2015,4.686
Iraq,normal,2015,4.677
Ireland,normal,2015,6.94
Israel,best,2015,7.278
Italy,normal,2015,5.948
Jamaica,normal,2015,5.709
Japan,normal,2015,5.987
Jordan,normal,2015,5.192
Kazakhstan,normal,2015,5.855
Kenya,normal,2015,4.419
Kosovo,normal,2015,5.589
Kyrgyzstan,normal,2015,5.286
Laos,normal,2015,4.876
Latvia,normal,2015,5.098
Lebanon,worst,2015,4.839
Liberia,normal,2015,4.571
Lithuania,normal,2015,5.833
Luxembourg,best,2015,6.946
Madagascar,normal,2015,3.681
Malawi,worst,2015,4.292
Malaysia,normal,2015,5.77
Mali,normal,2015,3.995
Malta,normal,2015,6.302
Mauritania,normal,2015,4.436
Mauritius,normal,2015,5.477
Mexico,normal,2015,7.187
Moldova,normal,2015,5.889
Mongolia,normal,2015,4.874
Montenegro,normal,2015,5.192
Morocco,normal,2015,5.013
Mozambique,normal,2015,4.971
Myanmar,normal,2015,4.307
Namibia,normal,2015,4.558
Nepal,normal,2015,4.514
Netherlands,best,2015,7.378
New Zealand,best,2015,7.286
Nicaragua,normal,2015,5.828
Niger,normal,2015,3.845
Nigeria,normal,2015,5.268
North Macedonia,normal,2015,5.007
Norway,best,2015,7.522
Pakistan,normal,2015,5.194
Panama,normal,2015,6.786
Paraguay,normal,2015,5.878
Peru,normal,2015,5.824
Philippines,normal,2015,5.073
Poland,normal,2015,5.791
Portugal,normal,2015,5.102
Romania,normal,2015,5.124
Russia,normal,2015,5.716
Saudi Arabia,normal,2015,6.411
Senegal,normal,2015,3.904
Serbia,normal,2015,5.123
Sierra Leone,worst,2015,4.507
Singapore,normal,2015,6.798
